date,time,lat,lon,depth,ML,nstn,dmin,gap,trms,ERH,ERZ,fixed,nph,quality
2023-09-05,23:28:49,24.8005,122.4173,114.39,4.04,99,48.3,154,0.33,0.3,0.3,F,223,C
2023-09-06,5:21:38,22.8973,120.68,5.75,4.4,99,11.2,33,0.44,0.2,0.2,F,217,C
2023-09-08,1:13:23,21.1687,121.891,207.9,4.42,64,54.7,285,0.37,0.7,0.2,F,98,D
2023-09-08,6:29:12,24.5203,121.6938,59.61,4,99,11.9,32,0.3,0.2,0.2,F,248,B
2023-09-09,21:22:01,24.8137,122.4288,13.9,4.01,86,48.8,136,0.4,0.3,0.4,F,137,C
2023-09-10,23:31:54,22.4258,122.8098,42.25,4.21,99,68.2,238,0.44,0.3,0.4,F,188,D
2023-09-15,9:10:10,21.3575,121.9885,10.05,4.21,91,51.8,270,0.5,0.4,0.5,F,113,D
2023-09-15,10:34:26,24.044,121.6748,23.89,4.42,95,8.2,96,0.24,0.3,0.2,F,111,B
2023-09-15,10:34:31,24.3835,121.8283,43.09,5.3,99,8.5,56,0.26,0.1,0.1,F,321,B
2023-09-18,13:21:20,25.9862,125.5825,251.82,6.88,99,132.6,149,0.55,1.7,1.3,F,292,D
2023-09-19,23:43:59,24.052,122.4937,26.93,4.26,99,19.5,147,0.49,0.2,0.1,F,205,C
2023-09-20,11:09:53,24.2393,121.7738,10.63,4.13,99,8,78,0.35,0.2,0.2,F,239,B
2023-09-20,14:45:27,23.2178,121.4137,35.27,4.31,99,11.5,102,0.31,0.2,0.1,F,322,C
2023-09-21,3:56:31,23.957,122.5362,28.12,4.36,99,28.8,154,0.41,0.2,0.1,F,270,C
2023-09-25,17:36:31,23.2598,121.2457,17.21,4.15,99,8.4,61,0.39,0.1,0.2,F,245,B
2023-09-25,23:04:33,24.4878,122.7552,96.36,4.92,99,25.2,102,0.23,0.2,0.1,F,343,B
2023-09-26,12:30:53,23.0985,121.3593,20.87,4.17,99,1.4,42,0.33,0.2,0.2,F,215,B
2023-09-30,8:04:55,24.5668,121.889,60.17,4.45,99,4.7,68,0.32,0.2,0.1,F,269,B
2023-10-02,11:43:24,25.6658,122.3193,266.21,4.34,88,77.5,250,0.35,1.1,0.5,F,149,D
2023-10-04,12:48:39,24.437,121.823,43.09,4.22,99,4.6,57,0.25,0.1,0.1,F,270,B
2023-10-05,8:53:16,24.0413,122.346,23.55,4.96,99,9.3,134,0.36,0.2,0.1,F,306,C
2023-10-08,6:57:50,24.8,122.455,18.12,4.25,90,51.9,134,0.38,0.3,0.5,F,147,D
2023-10-10,0:36:39,21.321,121.9375,178.75,4.62,99,48.6,275,0.42,0.5,0.2,F,205,D
2023-10-11,10:36:57,23.2737,121.244,14.53,5.88,99,9.7,68,0.35,0.1,0.1,F,351,B
